Time,Event_length,Y89Di,Pd102Di,Viability,Pd104Di,Pd105Di,Pd106Di,Pd108Di,Pd110Di,CD57,In115Di,I127Di,Xe131Di,Cs133Di,Ba138Di,Ce140Di,CD28,CD19,Ce142Di,CD45RA,CD103,CD4,CD8,Perforin,CD16,CD127,CD1c,CD123,CD66b,PD_1,ICOS,CD27,CCR5,Bcl6,Tcf1,CD14,CD56,Dy162Di,CXCR5,CD69,41BB,CD25,CCR7,CD3,Tbet,CD38,CD95,LAG3,CXCR4,HLADR,TIGIT,Lu176Di,GranzymeB,Ta181Di,Os189Di,DNA,Osmium,DNA,CD45_194,CD45_195,CD45_196,CD45_198,Bi209Di,bc_separation_dist,mahalanobis_dist,File Identifier
576211.875,92.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,4.28959703,.0,27.9964581,.0,.0,.0,.0,8.60242748,.0,.0,70.1413651,2.55126953,.0,.0,.0,.0,.0,1.76050067,4.81711435,6.27200079,22.1186962,19.4477177,.3435244,.0,.0,.0,.0,79.4606247,.77393502,2.82327557,.12771267,65.7709961,7.58088827,.0,18.2106552,3.0659709,18.7966309,1.88962913,2.49423671,12.9935865,12.4386129,.0,56.1575966,485.54895,167.669312,898.733398,12.2580605,17.0705433,29.671627,.0,.14618741,.09804999,2.96848559,6.09298229
580922.813,47.0,.0,.0,11.0207758,.0,.0,.0,.0,.0,5.87376642,.0,.0,6.35563803,.0,15.5102501,.0,2.73261499,.63327366,.31081086,5.39529181,6.62875175,.40252721,138.769882,.0,2.73776722,23.0912399,.0,2.13835716,.0,5.26802969,.2110876,4.11389446,23.360693,27.6714191,.0,.0,.0,8.02628231,.0,23.582674,.15432808,.99895227,8.76887703,159.220505,26.3882751,8.04367542,31.3588371,.0,33.5257416,3.40284014,6.6563468,.0,.0,.0,48.7970085,792.772156,203.850098,1343.5531,6.01723337,39.738842,37.2926254,.65324056,.57354379,.52505559,1.90198004,6.09172964
582348.75,40.0,.0,.0,3.63274217,.0,.0,.0,.0,.0,2.74083495,.0,.0,.0,.0,22.2221775,.0,.26643988,.90834731,1.24272394,16.7793369,11.8842449,.9438476,144.6362,.0,.0,32.8305626,.77377361,.0,.0,1.40466678,7.73595858,14.6050463,61.6744003,70.5511627,6.45225096,1.11416984,2.54393959,3.52033854,4.24642849,101.740662,.0,.0,.0,160.403793,11.311161,18.4520168,.43547705,3.11145449,31.6269627,3.46238017,.0,.0460085,.5723896,.0,117.107086,779.425415,339.872894,1447.22205,18.4741306,27.080267,47.247345,4.45675898,.8825652,.1256611,2.69028234,6.08968163
582559.625,70.0,.0,.0,7.15714169,.0,.85534286,.0,.0,.0,.0,.0,.0,.0,.0,36.3215523,.08719338,2.54702163,.0,.0,5.29390049,4.61382771,.0,50.3685265,.0,.0,4.33251381,1.0130229,.50249487,1.20915937,7.38405609,.0,3.36400628,2.08987164,19.2120857,.33263585,2.81581044,.93946338,.0,.0,32.3912506,.0,.0091356,.41150367,96.5976944,.0,.0,21.8936996,.0,16.2201767,1.2916553,2.78884625,.0,.0,1.85026062,145.256073,862.058594,310.367126,1448.58472,14.4428072,54.3322868,30.5847797,.0,2.09373784,.24271706,4.94318819,5.99142885
583279.063,54.0,.0,.0,8.17230606,.0,1.42480612,.0,.0,.0,318.733307,31.7166462,.0,.0,1.47705638,11.7681084,.0,.0,3.12876153,3.37503099,19.9533157,.0,1.94384646,46.5900536,3.92275167,.0,.0,.0,.0,.78164685,.0,8.19695663,.81055033,111.843658,79.706131,.0,.67617595,.0,.10626066,3.37945461,106.455284,.0,.76036143,.93495202,192.760376,24.812952,48.6169891,6.00485182,.0,9.2653923,2.17456841,2.70910811,62.2842789,62.9434471,.50489807,93.3918762,915.547363,343.893738,1728.49451,10.0977821,58.5743561,45.5293388,5.9437809,.0,.4803316,3.38069153,6.00677061
583711.875,34.0,.0,.0,1.00461102,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,16.2668915,.0,.0,.0,.0,4.60658741,1.65182209,.0,161.7491,.0,2.85896349,.0,1.15061522,.757613,.0,35.0037689,6.56544113,18.9332714,18.3582096,26.0240116,4.10533524,.0,1.00954008,7.51889563,3.73340845,66.5471115,.0,7.18776321,1.28673589,89.9681625,8.26689911,54.5580788,15.7905235,.0,25.8137074,.71874219,5.21533346,18.4970131,18.622551,2.32927275,65.9445496,802.332336,227.162598,1456.86584,8.06595802,32.3976288,45.8947716,.0,.0,.41593304,1.18422771,6.02181244
583773.25,38.0,.0,.0,8.49667835,.0,.0,.0,.0,.0,9.09135532,.0,.0,.0,.0,13.6924839,.0,1.4632585,.0,.0,3.9472127,.0,.0,49.339241,.0,.0,9.66018677,.7009033,.0,.0,.0,3.42276978,.0,11.0699806,76.1527176,3.6841414,.83224893,.0,.0,1.53730631,12.4263077,.0,.0,3.60147738,90.5846252,10.2516451,14.1542311,.51085722,.0,8.91254997,2.9320755,1.1265583,.88732201,.56641525,1.09159648,68.4306183,672.964966,297.438293,1277.17102,10.7088394,18.7475185,17.8906708,.0,.0,.14941703,2.74654317,5.92080164
583908.563,27.0,.0,.0,20.1942329,.0,.0,.0,.0,.0,28.8034153,.0,1.58449519,.0,.0,22.7334003,.0,.33834574,5.17470503,4.46260929,8.25094795,.0,.0,58.2252884,.0,.0,.45611414,.0,.0,.0,.30714262,2.31203508,.38072953,8.6136837,116.953148,3.271631,.99514109,.0,8.14505672,.05123284,74.9984665,.0,1.55157566,.4871797,46.9732513,11.5940437,.0,10.3270102,.0,20.9234467,.0,.28302777,1.30044186,.60918081,12.9777079,78.7125397,891.046265,220.607788,1513.31689,8.04653835,23.8467236,44.4517288,2.22358084,.0,.31261426,2.24357963,6.09194326
584520.25,24.0,.0,.0,5.58244658,.0,.0,.0,.0,.0,6.40942383,.0,.3900789,1.15131283,.0,28.4565125,.0,1.76732421,.0,.0,5.77737617,.0,.0,61.4039078,.0,.0,8.07527924,.0,.0,.75417411,3.01191473,3.29215145,.25927728,12.0004501,39.4638443,.0,2.273597,.0,.0,.25807545,75.619133,2.52546239,.0,3.68878508,140.015549,5.05911446,5.2122097,14.0196514,3.87902689,62.4678154,2.74662924,4.20640087,.65133017,1.32811892,.0,154.685471,819.198059,363.870758,1535.31445,3.64532042,37.8549156,33.0256157,.2814343,.0,.55985761,3.50856876,6.09157372
586033.938,31.0,4.25669003,.0,7.81668425,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,15.4973135,.0,.0,1.59134138,1.80201423,6.37635899,.05487154,.0,157.872879,.45891485,2.89797187,58.2203789,.53132099,2.03256488,.0,.02491363,.11030097,16.0299988,9.41347218,12.0073862,.86240965,1.3609761,.0,3.87763119,1.62433851,89.9329453,.0,7.04085064,.36957425,52.178215,9.74390697,15.6912994,14.019948,1.44617033,45.6628494,3.36723328,7.99121094,.0,.0,1.35976124,152.764954,895.870056,455.896942,1638.34094,14.5561848,37.9550171,37.4827385,3.26257229,.0,.31068984,.385647,5.93993139
